To,Location
key_3_sweep,PIN_W26
ten_MHz_ext,PIN_P26
CSB,PIN_L23
SCLK,PIN_J25
SDIO,PIN_K23
DR_CTL,PIN_K19
IO_UPDATE,PIN_N18
DR_HOLD,PIN_L21
OSK,PIN_H25
SCLK_PE_3,PIN_R20
SDIO_PE_5,PIN_N24
trigger,PIN_T21
key_1_trigger,PIN_N23
IO_RESET,PIN_L25
init_trigger,PIN_M24
e_number[0],PIN_AD12
e_number[1],PIN_AE12
e_number[2],PIN_AE13
e_number[3],PIN_AF13
e_number[4],PIN_AE15
sweep_key_flag,PIN_AF22
sweep_end_flag,PIN_W19
 complete_end_flag,PIN_V18
 e_flag,PIN_U18
final_massive_stop,PIN_U17
reset_flag,PIN_AA20
init_end_flag,PIN_Y18
init_key_flag,PIN_Y12
i_lsb,PIN_AE23
dont_read_flag,PIN_AF23
sweep_trigger_out,PIN_W25
