To,Location
key_0_init,PIN_M24
key_3_sweep,PIN_W26
ten_MHz_ext,PIN_D13
CSB,PIN_L23
SCLK,PIN_J25
SDIO,PIN_K23
DR_CTL,PIN_K19
IO_UPDATE,PIN_N18
IO_RESET,PIN_L25
trigger,PIN_T21
key_1_trigger,PIN_N23
DR_HOLD,PIN_L21
OSK,PIN_H25
SCLK_PE_3,PIN_R20
SDIO_PE_5,PIN_N24
p_number[17],PIN_AE23
p_number[16],PIN_AF23
p_number[15],PIN_AB21
p_number[14],PIN_AC22
p_number[13],PIN_AD22
p_number[12],PIN_AD23
p_number[11],PIN_AD21
p_number[10],PIN_AC21
p_number[9],PIN_AA14
p_number[8],PIN_Y13
p_number[7],PIN_AA13
p_number[6],PIN_AC14
p_number[5],PIN_AD15
p_number[4],PIN_AE15
p_number[3],PIN_AF13
p_number[2],PIN_AE13
p_number[1],PIN_AE12
p_number[0],PIN_AD12
p_number[25],PIN_AE22
p_number[24],PIN_AF22
p_number[23],PIN_W19
total[4],PIN_V18
total[3],PIN_U18
total[2],PIN_U17
total[1],PIN_AA20
total[0],PIN_Y18
tell_sweep_flag,PIN_Y12
key_2_reset,PIN_P23
