To,Location
switch0,PIN_N25
switch1,PIN_N26
switch2,PIN_P25
switch3,PIN_AE14
switch4,PIN_AF14
switch5,PIN_AD13
switch6,PIN_AC13
switch7,PIN_C13
switch8,PIN_B13
switch9,PIN_A13
switch10,PIN_N1
switch11,PIN_P1
switch12,PIN_P2
switch13,PIN_T7
switch14,PIN_U3
switch15,PIN_U4
switch16,PIN_V1
switch17,PIN_V2
TenMHz_output_clock,PIN_F26
data,PIN_W25
flag,PIN_K19
trigger,PIN_K25
FiftyMHz_int_ref_clock,PIN_N2
switch_reg_data[0],PIN_AF10
switch_reg_data[1],PIN_AB12
switch_reg_data[2],PIN_AC12
switch_reg_data[3],PIN_AD11
switch_reg_data[4],PIN_AE11
switch_reg_data[5],PIN_V14
switch_reg_data[6],PIN_V13
switch_reg_data[7],PIN_V20
switch_reg_data[8],PIN_V21
switch_reg_data[9],PIN_W21
switch_reg_data[10],PIN_Y22
switch_reg_data[11],PIN_AA24
switch_reg_data[12],PIN_AA23
switch_reg_data[13],PIN_AB24
switch_reg_data[14],PIN_AB23
switch_reg_data[15],PIN_V22
switch_reg_data[16],PIN_AC25
switch_reg_data[17],PIN_AC26
