To,Location
LEDS[0],PIN_Y18
LEDS[1],PIN_AA20
LEDS[2],PIN_U17
LEDS[3],PIN_U18
LEDS[4],PIN_V18
LEDS[5],PIN_W19
LEDS[6],PIN_AF22
LEDS[7],PIN_AE22
fifty_MHz_int,PIN_N2
key_0,PIN_G26
trigger_out,PIN_W23
SCLK_PE_3,PIN_U20
SDIO_PE_5,PIN_N20
HEXX[0],PIN_AF10
HEXX[1],PIN_AB12
HEXX[2],PIN_AC12
HEXX[3],PIN_AD11
HEXX[4],PIN_AE11
HEXX[5],PIN_V14
HEXX[6],PIN_V13
HEXX[7],PIN_V20
HEXX[8],PIN_V21
HEXX[9],PIN_W21
HEXX[10],PIN_Y22
HEXX[11],PIN_AA24
HEXX[12],PIN_AA23
HEXX[13],PIN_AB24
HEXX[14],PIN_AB23
HEXX[15],PIN_V22
HEXX[16],PIN_AC25
HEXX[17],PIN_AC26
HEXX[18],PIN_AB26
HEXX[19],PIN_AB25
HEXX[20],PIN_Y24
HEXX[21],PIN_Y23
HEXX[22],PIN_AA25
HEXX[23],PIN_AA26
HEXX[24],PIN_Y26
HEXX[25],PIN_Y25
HEXX[26],PIN_U22
HEXX[27],PIN_W24
HEXX[28],PIN_U9
HEXX[29],PIN_U1
HEXX[30],PIN_U2
HEXX[31],PIN_T4
HEXX[32],PIN_R7
HEXX[33],PIN_R6
HEXX[34],PIN_T3
HEXX[35],PIN_T2
HEXX[36],PIN_P6
HEXX[37],PIN_P7
HEXX[38],PIN_T9
HEXX[39],PIN_R5
HEXX[40],PIN_R4
HEXX[41],PIN_R3
HEXX[42],PIN_R2
HEXX[43],PIN_P4
HEXX[44],PIN_P3
HEXX[45],PIN_M2
HEXX[46],PIN_M3
HEXX[47],PIN_M5
HEXX[48],PIN_M4
HEXX[49],PIN_L3
HEXX[50],PIN_L2
HEXX[51],PIN_L9
HEXX[52],PIN_L6
HEXX[53],PIN_L7
HEXX[54],PIN_P9
HEXX[55],PIN_N9
